epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13574.9,0.4257,0.37261,0.95633,0.91446,0.81444,0.87693,0.84506,0.29246,0.32071,0.83208,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13979.5,0.42431,0.36824,0.95651,0.90735,0.81637,0.88064,0.84669,0.28915,0.32107,0.82894,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,14383.7,0.42593,0.36871,0.95735,0.91116,0.81705,0.88025,0.84751,0.2898,0.31875,0.83038,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,14820.4,0.41922,0.3678,0.95483,0.90596,0.81854,0.87817,0.8467,0.2899,0.31983,0.82996,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,15200.8,0.42082,0.36775,0.95506,0.90376,0.82353,0.8812,0.84804,0.289,0.31617,0.82865,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,15519.3,0.41646,0.36032,0.95344,0.90556,0.82425,0.88143,0.84918,0.28664,0.31311,0.82769,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,15839.4,0.4146,0.35775,0.9528,0.90532,0.81979,0.88158,0.84806,0.28509,0.31183,0.82704,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,16156.4,0.41184,0.3536,0.94934,0.90563,0.82027,0.88163,0.84823,0.28543,0.30895,0.82576,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,16474.2,0.41073,0.35484,0.94879,0.90545,0.82107,0.88148,0.84829,0.28533,0.31208,0.82655,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,16763.9,0.29459,0.31761,0.84417,0.90985,0.81789,0.88177,0.84876,0.28448,0.31049,0.82454,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,17053.4,0.29048,0.31025,0.84278,0.91463,0.81621,0.87864,0.84872,0.2836,0.30957,0.82545,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,17347.6,0.28855,0.30719,0.83973,0.91736,0.8155,0.8829,0.8504,0.28079,0.3089,0.82273,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,17636.7,0.28376,0.30328,0.83688,0.91024,0.81919,0.88197,0.85128,0.28002,0.30787,0.82225,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,17926,0.28233,0.29821,0.8362,0.91306,0.81875,0.88246,0.85011,0.27996,0.30531,0.82306,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,18218.3,0.28016,0.2941,0.839,0.91291,0.81682,0.87882,0.85006,0.2796,0.30221,0.82277,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,18511.5,0.2769,0.28831,0.83539,0.90096,0.82535,0.87959,0.85093,0.27918,0.30017,0.82275,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,18800.9,0.27362,0.2821,0.83352,0.90456,0.82492,0.88333,0.85125,0.27793,0.30143,0.82173,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,19090.5,0.27192,0.27981,0.83357,0.91993,0.81268,0.88323,0.84998,0.2785,0.30096,0.82189,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,19378.7,0.26938,0.27586,0.83126,0.91748,0.81246,0.88338,0.85082,0.27888,0.30121,0.82171,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
